title,author,avg_rating,rating_count,year_published,genre
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Ingleterra
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Mystery
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,roman
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,English Fantasy literature
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Translations into Marathi
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,English fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Translations into Chinese
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Children - harry potter
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Teen fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Children - fiction & literature
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Science fiction & fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Fiction - people
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Places & cultures
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Adventure
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Supernatural
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,harry potter
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,j.k rowling
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,spanish
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Spanish language materials
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Money
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Consumption (Economics)
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Quality of life
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Attitude change
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Accounting
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Ethics
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Self-help techniques
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Psychology
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Finance
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Personal
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Satisfaction
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,"Wealth, management"
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Psychological aspects
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Wealth
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Personal Finance
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Financial literacy
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Management
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Richesse
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,BUSINESS & ECONOMICS
The Psychology of Money,Morgan Housel,3.3333333,3.0,2020.0,Investing
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,"Fiction, romance, multicultural & interracial"
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,"Fiction, romance, new adult"
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,"Fiction, romance, contemporary"
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,nyt:combined-print-and-e-book-fiction=2023-07-02
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,New York Times bestseller
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,Romance
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,contemporary romance
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,new adult romance
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,brother's best friend
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,forbidden love
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,dark romance
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,grumpy-sunshine
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,angst
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,love triangle
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,self-discovery
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,redemption
Twisted Love,Ana Huang,3.7962964,270.0,2021.0,Serie:Twisted
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Wealth
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Success
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Filosofía
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Success in business
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Éxito
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Spanish language materials
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Exito en los negocios
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,New Thought
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Pensamiento nuevo
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Motivation (psychology)
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Self-actualization (psychology)
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Personal Finance
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,"Think and grow rich (Hill, Napoleon)"
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Self-help techniques
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Business
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,"Carnegie, andrew, 1835-1919"
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Erfolg
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Lebensführung
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Éxito en los negocios
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Conduct of life
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Succès dans les affaires
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Morale pratique
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,"Finance, personal"
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Government business enterprises
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Government executives
Think and Grow Rich,Napoleon Hill,4.011407,526.0,1937.0,Salaries
We Were Never Meant To Be,Palle Vasu,3.5542169,83.0,2025.0,Literary Fiction
Haunting Adeline,H. D. Carlton,3.5666666,270.0,2021.0,collectionID:YDarkromance
Haunting Adeline,H. D. Carlton,3.5666666,270.0,2021.0,"Fiction, romance, general"
Haunting Adeline,H. D. Carlton,3.5666666,270.0,2021.0,"Fiction, thrillers, suspense"
Haunting Adeline,H. D. Carlton,3.5666666,270.0,2021.0,"Young adult fiction, romance, general"
Haunting Adeline,H. D. Carlton,3.5666666,270.0,2021.0,"Young adult fiction, fantasy, dark fantasy"
Haunting Adeline,H. D. Carlton,3.5666666,270.0,2021.0,nyt:trade-fiction-paperback=2024-09-15
Haunting Adeline,H. D. Carlton,3.5666666,270.0,2021.0,New York Times bestseller
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Adult
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Action & Adventure
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Fantasy
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,High Fantasy
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Epic
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Epic Fantasy
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Epic Fiction
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Epic Literature
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,"Fiction, fantasy, epic"
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,"Fiction, fantasy, general"
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Science Fiction
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Fantastic Fiction
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Fiction
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Ficción
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Moral Ambiguity
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Betrayal
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Loyalty
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Family
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Revenge
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Vengeance
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Bien y mal
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Civil War
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,War and Conflict
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Imaginary Wars and Battles
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Guerras imaginarias
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Politics
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Intrigue
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Feudalism
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Royalty and Nobility
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Kings and Rulers
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Knights
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Courts and Courtiers
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Seasons
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Invierno
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Trial by Combat
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Voyages and Travels
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Walls
A Game of Thrones,George R. R. Martin,4.2160664,722.0,1996.0,Penal Colonies
