title,author,avg_rating,rating_count,year_published,all_genres,Other,activism,adult,bestseller,children/young adult,fantasy,fiction,guide,history,inspirational,literature,non-fiction,other,poetry,romance,science,spiritual/religious,sport,features_text,top_keywords,popularity,scaled_rating,cluster,rating_scaled,year_scaled
"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,3.96,0,2019,other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"A Curse So Dark and Lonely (Cursebreakers, #1) other ","cursebreakers, lonely, curse, dark, 김지영, zone, zonal, zombie",0.0,0.74,0,0.74,0.9978761061946902
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.34,0,2011,fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"A Dance with Dragons (A Song of Ice and Fire, #5) fantasy ","dragons, dance, ice, song, fantasy, zone, zonal, zombie",0.0,0.835,0,0.835,0.9950442477876106
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.04,0,2015,"adult, non-fiction",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"A Darker Shade of Magic (Shades of Magic, #1) adult, non-fiction ","magic, shade, darker, shades, adult, non, fiction, 김지영",0.0,0.76,3,0.76,0.9964601769911504
"A Deadly Education (The Scholomance, #1)",Naomi Novik,3.94,0,2020,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A Deadly Education (The Scholomance, #1) Other ","deadly, scholomance, education, 015, 김지영, zone, zonal, zombie",0.0,0.735,0,0.735,0.9982300884955753
"A Deal with the Devil (The Grumpy Devils, #1)",Elizabeth O'Roark,4.13,0,2021,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"A Deal with the Devil (The Grumpy Devils, #1) romance ","grumpy, devils, deal, devil, romance, zone, zonal, zombie",0.0,0.7825,4,0.7825,0.9985840707964602
A Dictionary Of Color Combinations,Various,4.0,2,2011,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Dictionary Of Color Combinations Other ,"dictionary, combinations, color, 김지영, zone, zonal, zombie, zodiac",1.0986122886681098,0.75,0,0.75,0.9950442477876106
A Disability History of the United States (Paperback),Kim E. Nielsen,4.08,0,2012,other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A Disability History of the United States (Paperback) other ,"states, united, disability, history, paperback, 015, 김지영, zone",0.0,0.77,0,0.77,0.9953982300884956
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.02,0,2011,"Other, spiritual/religious",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"A Discovery of Witches (All Souls, #1) Other, spiritual/religious ","discovery, souls, witches, religious, spiritual, yeats, 015, 김지영",0.0,0.7549999999999999,0,0.7549999999999999,0.9950442477876106
"A False Start (Gold Rush Ranch, #4)",Elsie Silver,4.13,0,2022,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"A False Start (Gold Rush Ranch, #4) romance ","false, rush, gold, start, ranch, romance, 015, 김지영",0.0,0.7825,4,0.7825,0.9989380530973452
A Farewell to Arms (Paperback),Ernest Hemingway,3.82,0,1929,history,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A Farewell to Arms (Paperback) history ,"farewell, arms, history, paperback, 김지영, zone, zonal, zombie",0.0,0.705,0,0.705,0.9660176991150442
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.17,0,2005,fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"A Feast for Crows (A Song of Ice and Fire, #4) fantasy ","feast, crows, ice, song, fantasy, zone, zonal, zombie",0.0,0.7925,0,0.7925,0.9929203539823009
"A Fellowship of Bakers & Magic (Adenashire, #1)",J. Penner,3.89,0,2023,other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"A Fellowship of Bakers & Magic (Adenashire, #1) other ","bakers, adenashire, fellowship, magic, 김지영, zone, zonal, zombie",0.0,0.7225,0,0.7225,0.9992920353982301
A Game of Thrones,George R. R. Martin,4.22,48374,1996,"Other, adult, bestseller, fantasy, fiction",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"A Game of Thrones Other, adult, bestseller, fantasy, fiction ","thrones, game, fantasy, bestseller, adult, fiction, zonal, zombie",10.786738430332083,0.8049999999999999,2,0.8049999999999999,0.9897345132743363
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,0,1996,"adult, fantasy, other",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"A Game of Thrones (A Song of Ice and Fire, #1) adult, fantasy, other ","thrones, ice, song, game, fantasy, adult, zone, zonal",0.0,0.8625,0,0.8625,0.9897345132743363
A Gentleman in Moscow (Paperback),Amor Towles,4.32,0,2016,other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A Gentleman in Moscow (Paperback) other ,"moscow, gentleman, paperback, yeats, 015, 김지영, zone, zonal",0.0,0.8300000000000001,0,0.8300000000000001,0.9968141592920354
"A Gift of Grace (Kauffman Amish Bakery, #1)",Amy Clipston,4.17,0,2009,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"A Gift of Grace (Kauffman Amish Bakery, #1) spiritual/religious ","kauffman, bakery, gift, grace, amish, religious, spiritual, zonal",0.0,0.7925,0,0.7925,0.9943362831858407
A Good Girl's Guide to Murder,Holly Jackson,4.03,2160,2019,"Other, bestseller, children/young adult",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"A Good Girl's Guide to Murder Other, bestseller, children/young adult ","murder, good, girl, guide, bestseller, young, children, adult",7.6783263565068856,0.7575000000000001,2,0.7575000000000001,0.9978761061946902
A Grief Observed (Paperback),C.S. Lewis,4.22,0,1961,"other, spiritual/religious",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"A Grief Observed (Paperback) other, spiritual/religious ","observed, grief, religious, spiritual, paperback, yeats, 015, 김지영",0.0,0.8049999999999999,0,0.8049999999999999,0.9773451327433629
A Head Full of Ghosts (Hardcover),Paul Tremblay,3.78,0,2015,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Head Full of Ghosts (Hardcover) Other ,"head, ghosts, hardcover, 김지영, zone, zonal, zombie, zodiac",0.0,0.695,0,0.695,0.9964601769911504
A History of My Brief Body (Kindle Edition),Billy-Ray Belcourt,4.18,0,2020,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A History of My Brief Body (Kindle Edition) non-fiction ,"brief, body, kindle, edition, history, non, fiction, zombie",0.0,0.7949999999999999,3,0.7949999999999999,0.9982300884955753
A History of the Arab Peoples (Paperback),Albert Hourani,3.88,0,1991,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A History of the Arab Peoples (Paperback) non-fiction ,"peoples, arab, history, non, paperback, fiction, 김지영, zone",0.0,0.72,3,0.72,0.9879646017699115
"A Holly Jolly Ever After (A Christmas Notch, #2)",Julie   Murphy,3.49,0,2023,guide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"A Holly Jolly Ever After (A Christmas Notch, #2) guide ","jolly, holly, notch, christmas, guide, zone, zonal, zombie",0.0,0.6225,0,0.6225,0.9992920353982301
"A Lady of Rooksgrave Manor (Tempting Monsters, #1)",Kathryn  Moon,3.91,0,2021,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A Lady of Rooksgrave Manor (Tempting Monsters, #1) Other ","tempting, rooksgrave, manor, lady, monsters, yeats, 015, 김지영",0.0,0.7275,0,0.7275,0.9985840707964602
A Lesson in Vengeance (Hardcover),Victoria  Lee,3.52,0,2021,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Lesson in Vengeance (Hardcover) Other ,"lesson, vengeance, hardcover, yeats, 015, 김지영, zone, zonal",0.0,0.63,0,0.63,0.9985840707964602
A Light in the Attic (Hardcover),Shel Silverstein,4.36,0,1981,poetry,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A Light in the Attic (Hardcover) poetry ,"attic, light, poetry, hardcover, 015, 김지영, zone, zonal",0.0,0.8400000000000001,0,0.8400000000000001,0.9844247787610619
"A Line in the Sand: Britain, France and the Struggle that Shaped the Middle East (Hardcover)",James   Barr,4.07,0,2011,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"A Line in the Sand: Britain, France and the Struggle that Shaped the Middle East (Hardcover) non-fiction ","sand, france, line, struggle, britain, shaped, east, middle",0.0,0.7675000000000001,3,0.7675000000000001,0.9950442477876106
A Little Life,Hanya Yanagihara,3.96,828,2015,"Other, bestseller",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A Little Life Other, bestseller ","little, life, bestseller, yeats, 015, 김지영, zone, zonal",6.720220155135295,0.74,1,0.74,0.9964601769911504
A Little Life (Hardcover),Hanya Yanagihara,4.28,0,2015,"Other, activism, fiction, non-fiction, other",1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,"A Little Life (Hardcover) Other, activism, fiction, non-fiction, other ","little, life, fiction, activism, non, hardcover, 김지영, zone",0.0,0.8200000000000001,3,0.8200000000000001,0.9964601769911504
A Long Way Gone: Memoirs of a Boy Soldier (Hardcover),Ishmael Beah,4.16,0,2007,history,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A Long Way Gone: Memoirs of a Boy Soldier (Hardcover) history ,"soldier, memoirs, gone, long, boy, way, history, hardcover",0.0,0.79,0,0.79,0.9936283185840709
A Man Called Ove (Hardcover),Fredrik Backman,4.38,0,2012,"Other, adult, other",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"A Man Called Ove (Hardcover) Other, adult, other ","ove, called, man, adult, hardcover, 김지영, zone, zonal",0.0,0.845,0,0.845,0.9953982300884956
A Man on the Moon (Paperback),Andrew Chaikin,4.49,0,1994,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A Man on the Moon (Paperback) science ,"moon, man, science, paperback, 15th, yeats, 015, 김지영",0.0,0.8725,0,0.8725,0.9890265486725663
"A Merry Little Meet Cute (A Christmas Notch, #1)",Julie   Murphy,3.33,0,2022,guide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"A Merry Little Meet Cute (A Christmas Notch, #1) guide ","notch, cute, merry, meet, little, christmas, guide, 김지영",0.0,0.5825,0,0.5825,0.9989380530973452
A Midsummer Night's Dream,William Shakespeare,3.78,10032,1600,"Other, children/young adult, fantasy, fiction, other, poetry",1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,"A Midsummer Night's Dream Other, children/young adult, fantasy, fiction, other, poetry ","midsummer, dream, night, poetry, fantasy, young, children, adult",9.213634938925614,0.695,2,0.695,0.8495575221238938
A Midsummer Night’s Dream (Mass Market Paperback),William Shakespeare,3.94,0,1595,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Midsummer Night’s Dream (Mass Market Paperback) Other ,"midsummer, dream, night, market, mass, paperback, yeats, 015",0.0,0.735,0,0.735,0.8477876106194691
A Mind Spread Out on the Ground (Hardcover),Alicia Elliott,4.4,0,2019,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A Mind Spread Out on the Ground (Hardcover) non-fiction ,"spread, ground, mind, non, hardcover, fiction, 김지영, zone",0.0,0.8500000000000001,3,0.8500000000000001,0.9978761061946902
"A Murder Is Announced (Miss Marple, #4)",Agatha Christie,4.01,0,1950,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A Murder Is Announced (Miss Marple, #4) Other ","announced, marple, miss, murder, yeats, 015, 김지영, zone",0.0,0.7525,0,0.7525,0.9734513274336283
A New Earth: Awakening to Your Life's Purpose (Paperback),Eckhart Tolle,4.16,0,2011,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,A New Earth: Awakening to Your Life's Purpose (Paperback) spiritual/religious ,"purpose, awakening, earth, new, life, religious, spiritual, paperback",0.0,0.79,0,0.79,0.9950442477876106
"A Not So Meet Cute (Cane Brothers, #1)",Meghan Quinn,4.01,0,2021,"Other, romance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"A Not So Meet Cute (Cane Brothers, #1) Other, romance ","cane, cute, meet, brothers, romance, 김지영, zone, zonal",0.0,0.7525,4,0.7525,0.9985840707964602
