title,author,avg_rating,rating_count,year_published,all_genres,Other,activism,adult,bestseller,children/young adult,fantasy,fiction,guide,history,inspirational,literature,non-fiction,other,poetry,romance,science,spiritual/religious,sport
A Simple Amish Christmas (Kindle Edition),Vannetta Chapman,3.99,0,2010,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A Sister's Secret (Sisters of Holmes County, #1)",Wanda E. Brunstetter,4.16,0,2007,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A Spindle Splintered (Fractured Fables, #1)",Alix E. Harrow,3.6,0,2021,fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,0,2000,fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Street Cat Named Bob (Hardcover),James Bowen,3.99,0,2012,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"A Study in Drowning (A Study in Drowning, #1)",Ava Reid,3.71,0,2023,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Study in Scarlet,Arthur Conan Doyle,3.9599999999999995,4066,1887,"Other, children/young adult, fiction, literature",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.13,0,1887,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"A Summer Affair (Nantucket, #1)",Elin Hilderbrand,3.51,0,2008,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Tale of Two Cities (Paperback),Charles Dickens,3.88,0,1859,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Thousand Boy Kisses,Tillie Cole,3.43,357,2016,"Other, bestseller, children/young adult, other",1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"A Thousand Boy Kisses (A Thousand Boy Kisses, #1)",Tillie Cole,4.04,0,2016,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Thousand Mornings: Poems (Hardcover),Mary Oliver,4.2,0,2012,poetry,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Thousand Naked Strangers: a Paramedic's Wild Ride to the Edge and Back (Hardcover),Kevin Hazzard,3.95,0,2016,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Thousand Splendid Suns,Khaled Hosseini,4.46,4480,2007,"Other, bestseller, fiction, literature, other",1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
A Thousand Splendid Suns (Hardcover),Khaled Hosseini,4.45,0,2007,"Other, fiction, history, non-fiction",1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St.  Clair,3.8,0,2019,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Tree Grows in Brooklyn (Paperback),Betty  Smith,4.3,0,1943,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"A Tyranny of Petticoats (A Tyranny of Petticoats, #1)",Jessica Spotswood,,0,,literature,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A Universe of Wishes: A We Need Diverse Books Anthology (Hardcover),Dhonielle Clayton,,0,,literature,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"A Very Merry Bromance (Bromance Book Club, #5)",Lyssa Kay Adams,4.03,0,2022,guide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A Vindication of the Rights of Woman (Paperback),Mary Wollstonecraft,3.92,0,1792,"activism, non-fiction",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Visit from the Goon Squad (Hardcover),Jennifer Egan,3.7,0,2010,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"A Voice in the Wind (Mark of the Lion, #1)",Francine  Rivers,4.57,0,1993,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A Walk in the Woods: Rediscovering America on the Appalachian Trail (Mass Market Paperback),Bill Bryson,4.07,0,1998,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Walk to Remember (Kindle Edition),Nicholas Sparks,4.2,0,1999,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Winter in New York (Hardcover),Josie Silver,3.67,0,2023,guide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A Witch's Guide to Magical Innkeeping (ebook),Sangu Mandanna,3.99,0,2025,other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Witches' Bible: The Complete Witches' Handbook (Paperback),Janet Farrar,3.89,0,1987,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A Wizard of Earthsea,Ursula K. Le Guin,3.96,2300,1968,"Other, children/young adult, fantasy, fiction",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.01,0,1968,fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Wizard’s Guide to Defensive Baking (Paperback),T. Kingfisher,4.06,0,2020,other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Woman Is No Man (Hardcover),Etaf Rum,4.26,0,2019,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Wrinkle in Time,Madeleine L'Engle,3.94,9184,1962,"Other, children/young adult, fantasy, fiction, other, romance",1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,0,1962,fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Year in the Life of William Shakespeare: 1599 (Paperback),James Shapiro,4.08,0,2005,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A child called ""it""",David J. Pelzer,4.56,3796,1987,"Other, children/young adult, literature",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
A course of instruction in personal magnetism,Charles V Hutchen,5.0,2,1917,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
